"Question","Answer"
"연차 휴가는 어떻게 신청하나요?","연차 휴가는 사내 인트라넷 또는 HR 담당자에게 신청하시면 됩니다."
"연차 사용 시 최소 몇 일 전에 신청해야 하나요?","최소 3일 전에 상사에게 승인받아 신청해야 합니다."
"병가 신청 절차가 궁금합니다.","병가 신청은 진단서와 함께 HR팀에 제출해 주셔야 합니다."
"출산휴가는 몇 개월까지 사용 가능한가요?","출산휴가는 최대 90일까지 사용하실 수 있습니다."
"육아휴직은 남성도 신청할 수 있나요?","네, 남성 직원도 육아휴직을 신청할 수 있습니다."
"육아휴직 기간 동안 급여는 어떻게 지급되나요?","육아휴직 기간 중 일정 비율의 급여가 지급됩니다. 자세한 사항은 HR팀에 문의하세요."
"퇴직금은 언제 지급되나요?","퇴직일로부터 14일 이내에 지급됩니다."
"퇴직금 산정 기준은 무엇인가요?","퇴직 전 3개월 평균 임금을 기준으로 산정됩니다."
"근로계약서는 언제 작성하나요?","입사 첫날 근로계약서를 작성합니다."
"근로계약서 재발급이 가능한가요?","네, HR팀에 요청하시면 재발급해드립니다."
"복리후생에는 어떤 항목이 포함되나요?","건강검진, 식대, 교통비, 경조사 지원 등이 포함됩니다."
"경조사 휴가는 어떻게 신청하나요?","관련 증빙서류와 함께 HR팀에 신청하시면 됩니다."
"경조사비는 어떤 경우에 지급되나요?","결혼, 출산, 부모상 등 주요 경조사에 지급됩니다."
"회사 내 교육 프로그램은 어떻게 신청하나요?","사내 교육 포털에서 신청 가능합니다."
"재택근무는 언제부터 가능한가요?","입사 3개월 후부터 신청 가능합니다."
"재택근무 신청 방법을 알려주세요.","인트라넷에서 신청서를 작성해 제출하시면 됩니다."
"출근 시간과 퇴근 시간은 어떻게 되나요?","출근 09:00, 퇴근 18:00가 기본입니다."
"유연근무제는 어떻게 운영되나요?","부서장 승인 하에 출퇴근 시간을 조정할 수 있습니다."
"초과근무 수당은 어떻게 지급되나요?","초과근무 시간에 따라 월급에 포함되어 지급됩니다."
"회사에서 제공하는 식대는 얼마인가요?","1일 8,000원이 지급됩니다."
"교통비 지원 기준이 궁금합니다.","대중교통 이용 시 월 10만원 한도로 지원됩니다."
"건강검진은 언제 받을 수 있나요?","매년 1회 지정 의료기관에서 받을 수 있습니다."
"사내 동호회 활동 지원금이 있나요?","네, 동호회별로 월 10만원까지 지원됩니다."
"휴가 사용 시 대체 근무자는 누가 지정하나요?","부서장이 대체 근무자를 지정합니다."
"인사평가는 언제 실시되나요?","매년 1회 12월에 실시됩니다."
"인사평가 결과는 어떻게 확인할 수 있나요?","인트라넷에서 본인만 확인 가능합니다."
"승진 기준은 무엇인가요?","근속연수, 인사평가, 업무성과 등이 반영됩니다."
"사내 복장 규정이 있나요?","비즈니스 캐주얼을 권장합니다."
"회사 내 금연 구역은 어디인가요?","사무실, 계단, 화장실 등 실내 전체가 금연 구역입니다."
"사내 임신부 배려 정책이 있나요?","임산부 전용 휴게실과 단축 근무가 제공됩니다."
"장애인 직원 지원 정책이 궁금합니다.","장애인 전용 주차장, 점자 안내 등 다양한 지원이 있습니다."
"연말 보너스는 어떻게 지급되나요?","인사평가 결과에 따라 차등 지급됩니다."
"급여명세서는 어디서 확인하나요?","인트라넷에서 매월 확인 가능합니다."
"급여 이체일은 언제인가요?","매월 25일에 이체됩니다."
"회사 내 고충상담 창구가 있나요?","HR팀 내 별도 고충상담 담당자가 있습니다."
"성희롱 예방 교육은 의무인가요?","네, 연 1회 의무적으로 이수해야 합니다."
"회사 내 징계 절차가 궁금합니다.","경고, 감봉, 정직, 해고 순으로 진행됩니다."
"직장 내 괴롭힘 신고 방법은 무엇인가요?","익명 신고 시스템 또는 HR팀에 직접 신고할 수 있습니다."
"사내 IT 기기 지급 기준이 있나요?","직급 및 업무에 따라 노트북, 휴대폰 등이 지급됩니다."
"출장비는 어떻게 정산하나요?","영수증 제출 후 한 달 내에 정산됩니다."
"해외 출장 시 보험이 적용되나요?","네, 회사에서 단체 보험에 가입되어 있습니다."
"사내 동료 추천 채용 제도가 있나요?","네, 추천 채용 시 보상금이 지급됩니다."
"사내 카풀 제도가 있나요?","부서별로 자율적으로 운영 가능합니다."
"사내 식당 메뉴는 어디서 확인하나요?","인트라넷 또는 사내 게시판에서 확인할 수 있습니다."
"사내 체력단련실 이용이 가능한가요?","네, 직원 누구나 이용 가능합니다."
"직무 변경(전환) 신청은 어떻게 하나요?","연 1회 인사이동 신청 기간에 신청할 수 있습니다."
"사내 공모전은 어떻게 참여하나요?","사내 게시판에 공지된 안내에 따라 신청하시면 됩니다."
"사내 봉사활동은 어떻게 신청하나요?","HR팀 또는 사내 봉사 동호회에 문의하시면 됩니다."
"사내 도서관 이용 시간은 어떻게 되나요?","평일 09:00~18:00에 이용 가능합니다."
"사내 카페테리아 운영 시간은?","평일 08:00~19:00까지 운영됩니다."
"사내 주차장 이용 기준은?","차량 등록 후 월 주차비 납부 시 이용 가능합니다."
"회사 내 개인정보 보호 정책은?","모든 직원의 개인정보는 암호화되어 안전하게 관리됩니다."
"사내 메신저 사용 규정이 있나요?","업무 목적 외 사용은 제한됩니다."
"사내 인터넷 사용 정책은?","불법 사이트 접속 및 다운로드는 금지됩니다."
"사내 보안 교육은 필수인가요?","네, 연 1회 필수로 이수해야 합니다."
"사내 문서 보관 규정은?","중요 문서는 지정된 장소에 보관해야 합니다."
"사내 외부인 출입 절차는?","방문증 발급 후 출입이 가능합니다."
"사내 회의실 예약 방법은?","인트라넷에서 예약 가능합니다."
"사내 행사 참여는 의무인가요?","일부 공식 행사는 의무 참여입니다."
"사내 복지포인트는 어떻게 사용하나요?","지정된 복지몰에서 사용 가능합니다."
"사내 임직원 할인 혜택이 있나요?","협력사 제품 구매 시 할인 혜택이 있습니다."
